time,acceleration x,acceleration y,acceleration z,gyroscope x,gyroscope y,gyroscope z
0.0130,2.7031,0.1245,-9.9144,0.0032,-0.0106,0.2366
0.0264,2.6743,0.0790,-9.8258,0.0037,-0.0099,0.1908
0.0395,2.6384,0.1724,-9.6774,0.0050,-0.0121,0.2824
0.0529,2.7246,0.0838,-9.8330,0.0046,-0.0113,0.0840
0.0666,2.6288,0.0838,-9.9479,0.0054,-0.0116,0.3359
0.0806,2.7054,0.1365,-9.8186,0.0038,-0.0132,-0.0458
0.0946,2.7007,0.1508,-9.7683,0.0044,-0.0138,0.0611
0.1083,2.6959,0.1077,-9.6558,0.0037,-0.0097,0.3664
0.1221,2.6408,0.1053,-9.7659,0.0031,-0.0114,0.2977
0.1361,2.6288,0.1317,-9.8426,0.0037,-0.0106,0.0840
0.1500,2.6600,0.1484,-9.8881,0.0033,-0.0112,0.1527
0.1636,2.7102,0.1006,-9.8569,0.0047,-0.0111,0.1374
0.1781,2.6743,0.0694,-9.7875,0.0034,-0.0120,0.3053
0.1927,2.6959,0.0934,-9.6989,0.0040,-0.0125,0.2214
0.2067,2.6935,0.1030,-9.8114,0.0023,-0.0124,0.1756
0.2212,2.7390,0.0934,-9.8186,0.0031,-0.0121,1.9160
0.2348,2.7102,0.0000,-9.8258,0.0040,-0.0133,0.2214
0.2526,2.6312,0.0096,-9.8186,0.0031,-0.0115,0.2672
0.2715,2.6624,0.1006,-9.8689,0.0055,-0.0110,0.2366
0.2900,2.6671,0.0646,-9.8114,0.0026,-0.0115,0.1603
0.3082,2.6695,0.1245,-9.6917,0.0037,-0.0107,0.2290
0.3268,2.6935,0.0024,-9.7899,0.0043,-0.0132,0.2748
0.3452,2.6935,0.1077,-9.7827,0.0023,-0.0118,0.1145
0.3636,2.6959,0.1413,-9.7276,0.0031,-0.0110,0.2290
0.3819,2.6863,0.1221,-9.7205,0.0031,-0.0127,0.2061
0.4005,2.6480,0.1341,-9.9359,0.0047,-0.0111,0.1985
0.4195,2.6432,0.0958,-9.7995,0.0027,-0.0119,0.2519
0.4380,2.6169,0.0910,-9.8378,0.0054,-0.0118,0.3740
0.4569,2.7390,0.1413,-9.8593,0.0040,-0.0114,0.2443
0.4760,2.6576,0.1101,-9.6941,0.0041,-0.0111,0.2824
0.4946,2.6743,0.1101,-9.6750,0.0046,-0.0130,0.2824
0.5136,2.7198,0.1125,-9.7755,0.0040,-0.0113,0.2214
0.5325,2.7318,0.0072,-9.8497,0.0027,-0.0112,0.1985
0.5517,2.7150,0.0144,-9.7899,0.0039,-0.0104,0.1145
0.5701,2.6695,0.2777,-9.7827,0.0048,-0.0126,0.3053
0.5883,2.7054,0.1460,-9.7612,0.0045,-0.0110,0.1221
0.6060,2.7342,0.0910,-9.8234,0.0042,-0.0115,0.1374
0.6244,2.6456,0.0862,-9.6750,0.0037,-0.0118,0.1832
0.6431,2.6671,0.2993,-9.8378,0.0048,-0.0117,0.1985
0.6619,2.7150,0.0790,-9.7995,0.0044,-0.0122,0.2824
0.6807,2.6576,0.1341,-9.7588,0.0032,-0.0112,0.1603
0.6991,2.6887,0.1245,-9.8162,0.0031,-0.0118,0.1450
0.7179,2.6935,0.1437,-9.8066,0.0043,-0.0110,0.1298
0.7365,2.6504,0.0694,-9.8090,0.0044,-0.0137,0.2214
0.7554,2.6743,0.1077,-9.9072,0.0029,-0.0121,0.1603
0.7740,2.6935,0.0958,-9.7803,0.0040,-0.0113,0.2748
0.7927,2.6600,0.2873,-9.7659,0.0055,-0.0131,0.3282
0.8120,2.6839,0.0503,-9.7372,0.0048,-0.0120,0.3664
0.8303,2.6863,0.1365,-9.7899,0.0038,-0.0111,0.2137
0.8500,2.6264,0.1389,-9.8043,0.0045,-0.0122,0.1298
0.8678,2.6839,0.1604,-9.8282,0.0048,-0.0115,0.3359
0.8863,2.6767,0.1365,-9.7636,0.0029,-0.0116,0.1450
0.9045,2.7054,0.0742,-9.7588,0.0029,-0.0111,0.1221
0.9224,2.7270,0.1053,-9.9575,0.0045,-0.0114,0.2977
0.9412,2.6600,0.1341,-9.9216,0.0052,-0.0139,0.0000
0.9591,2.6983,0.1077,-9.9599,0.0024,-0.0132,0.1985
0.9776,2.7078,0.1245,-9.7995,0.0039,-0.0129,0.1908
0.9960,2.6767,0.1173,-9.6845,0.0052,-0.0119,0.2595
1.0149,2.6671,0.1006,-9.7971,0.0033,-0.0125,0.1298
1.0335,2.6983,0.1149,-9.8569,0.0044,-0.0114,0.2366
1.0527,2.4565,0.1006,-9.9000,0.0042,-0.0115,0.2901
1.0711,2.6336,0.1197,-9.8665,0.0037,-0.0125,0.0916
1.0904,2.6911,0.1604,-9.6798,0.0037,-0.0105,0.0992
1.1091,2.7198,0.0910,-9.7779,0.0033,-0.0135,0.2290
1.1288,2.6647,0.1604,-9.7276,0.0043,-0.0120,0.1374
1.1479,2.6073,0.0958,-9.9216,0.0044,-0.0127,0.1756
1.1678,2.6791,0.0024,-9.8569,0.0036,-0.0117,0.2290
1.1876,2.6887,0.1197,-9.7061,0.0027,-0.0120,0.2901
1.2068,2.7222,0.0048,-9.8497,0.0033,-0.0113,0.2061
1.2261,2.7078,0.0982,-9.7683,0.0045,-0.0130,0.1603
1.2451,2.6815,0.0335,-9.7875,0.0043,-0.0113,0.0992
1.2650,2.6839,0.1173,-9.7731,0.0034,-0.0111,0.0992
1.2834,2.7031,0.1173,-9.8330,0.0046,-0.0109,0.1603
1.3043,2.7078,0.1197,-9.7731,0.0039,-0.0111,0.2824
1.3229,2.7294,0.1437,-9.9096,0.0051,-0.0107,0.3740
1.3413,2.8850,0.1125,-9.8114,0.0039,-0.0120,0.1298
1.3596,2.6815,0.1101,-9.8162,0.0038,-0.0118,0.2290
1.3783,2.6911,0.0311,-9.8306,0.0032,-0.0117,0.0763
1.3969,2.7246,0.0551,-9.8234,0.0042,-0.0115,0.1832
1.4204,2.7031,0.2801,-9.8258,0.0036,-0.0113,0.0458
1.4386,2.6911,0.1484,-9.7971,0.0043,-0.0125,0.0840
1.4564,2.6480,0.1006,-9.9240,0.0031,-0.0124,0.2290
1.4748,2.5426,0.1269,-9.7157,0.0043,-0.0115,0.1832
1.4937,2.6983,0.1508,-10.1035,0.0043,-0.0117,0.1679
1.5130,2.7174,0.2562,-9.8737,0.0044,-0.0123,0.2748
1.5320,2.7294,0.0886,-9.9575,0.0040,-0.0121,0.1450
1.5512,2.7150,0.1484,-9.9240,0.0034,-0.0102,0.2366
1.5702,2.7102,0.1030,-9.8019,0.0037,-0.0113,0.1450
1.5892,2.6528,0.0934,-9.8761,0.0054,-0.0113,0.1450
1.6084,2.6624,0.1341,-9.9240,0.0031,-0.0104,0.1145
1.6275,2.6743,0.1413,-9.9144,0.0031,-0.0110,0.2901
1.6473,2.6504,0.1221,-9.6702,0.0042,-0.0119,0.3435
1.6657,2.6791,0.1030,-9.8402,0.0037,-0.0119,0.1832
1.6849,2.6145,0.2969,-9.7013,0.0040,-0.0115,0.0840
1.7033,2.7031,0.1341,-9.9479,0.0039,-0.0114,0.1832
1.7218,2.6839,0.3041,-9.7971,0.0039,-0.0117,-0.0229
1.7405,2.6671,0.2873,-9.7252,0.0048,-0.0133,0.2443
1.7600,2.7031,0.0742,-9.8258,0.0036,-0.0104,0.1985
1.7787,2.7629,0.1197,-9.8378,0.0052,-0.0110,0.1832
1.7983,2.6935,0.1437,-9.7731,0.0036,-0.0114,0.0992
1.8170,2.6863,0.1604,-9.7468,0.0041,-0.0128,0.1908
1.8355,2.6576,0.2993,-9.8785,0.0044,-0.0107,0.2595
1.8542,2.6432,0.0862,-9.8904,0.0032,-0.0126,0.2214
1.8734,2.6695,0.1197,-9.9335,0.0048,-0.0112,0.2214
1.8923,2.6480,0.1101,-9.6917,0.0046,-0.0122,0.0916
1.9113,2.6911,0.1149,-9.7947,0.0041,-0.0122,0.2366
1.9299,2.6456,0.0982,-9.7540,0.0043,-0.0107,0.2061
1.9485,2.6336,0.1077,-9.7085,0.0043,-0.0128,0.1221
1.9669,2.6504,0.2777,-9.7851,0.0040,-0.0124,0.1985
1.9858,2.6360,0.0862,-9.7324,0.0032,-0.0128,0.1908
2.0049,2.7007,0.1508,-9.7923,0.0038,-0.0119,0.2824
2.0237,2.6624,0.2682,-9.6750,0.0041,-0.0117,0.1985
2.0427,2.6935,0.0527,-9.8426,0.0025,-0.0122,0.1832
2.0622,2.6935,0.1006,-9.8114,0.0035,-0.0131,0.2061
2.0818,2.6312,0.1030,-9.7037,0.0031,-0.0116,0.1679
2.1016,2.7126,0.1101,-9.8928,0.0031,-0.0111,0.2137
2.1203,2.6504,0.0144,-9.9072,0.0055,-0.0117,0.1374
2.1405,2.6576,0.0383,-9.7085,0.0032,-0.0111,0.2061
2.1592,2.7557,0.1389,-9.8569,0.0028,-0.0124,0.2137
2.1774,2.6169,0.1389,-9.7755,0.0045,-0.0116,0.1298
2.1967,2.6528,0.1245,-9.6774,0.0033,-0.0114,0.2901
2.2151,2.7438,0.1149,-9.8043,0.0031,-0.0118,0.1985
2.2340,2.6671,0.1077,-9.8282,0.0032,-0.0123,0.0992
2.2530,2.6647,0.0694,-9.9599,0.0043,-0.0117,0.1450
2.2718,2.6576,0.1245,-9.8737,0.0044,-0.0117,0.0916
2.2933,2.7294,0.0503,-9.7588,0.0045,-0.0114,0.1832
2.3122,2.7414,0.0958,-9.8043,0.0043,-0.0124,0.1679
2.3317,2.7246,0.0838,-9.7707,0.0030,-0.0118,0.1679
2.3506,2.6528,0.1413,-9.8593,0.0037,-0.0125,0.2061
2.3702,2.6432,0.1389,-9.7037,0.0041,-0.0121,0.0992
2.3894,2.6624,0.1341,-9.8330,0.0051,-0.0119,0.2901
2.4082,2.6432,0.1125,-9.8282,0.0041,-0.0121,0.3511
2.4266,2.8084,0.1173,-9.6750,0.0043,-0.0121,0.0534
2.4450,2.6624,0.1269,-9.8258,0.0043,-0.0119,0.3053
2.4638,2.6480,0.1077,-9.7061,0.0035,-0.0138,0.1145
2.4828,2.6647,0.1317,-9.8114,0.0047,-0.0115,0.2061
2.5014,2.6576,0.1245,-9.8282,0.0043,-0.0131,0.0076
2.5203,2.6983,0.1484,-9.7636,0.0028,-0.0133,0.2748
2.5394,2.6887,0.0982,-9.8881,0.0033,-0.0129,0.0916
2.5671,2.6695,0.1149,-9.6558,0.0037,-0.0130,0.1603
2.5853,2.6600,0.1652,-9.9599,0.0048,-0.0125,0.2748
2.6034,2.7557,0.1006,-9.7683,0.0051,-0.0115,0.2595
2.6217,2.7246,0.1341,-9.8976,0.0045,-0.0118,0.2977
2.6396,2.6217,0.1413,-9.7683,0.0026,-0.0129,0.1298
2.6574,2.7007,0.0694,-9.9431,0.0041,-0.0106,0.0534
2.6761,2.6887,0.0670,-9.8665,0.0048,-0.0122,0.2519
2.7091,2.7102,0.1460,-9.8641,0.0033,-0.0118,0.2595
2.7286,2.6839,0.0048,-9.9024,0.0038,-0.0113,0.0840
2.7474,2.6073,0.0790,-9.6726,0.0043,-0.0122,0.1298
2.7669,2.7126,0.1293,-9.9120,0.0047,-0.0128,0.1374
2.7855,2.6336,0.2945,-9.9000,0.0035,-0.0118,0.2214
2.8047,2.6791,0.1269,-9.9359,0.0033,-0.0111,0.0763
2.8232,2.6528,0.1341,-9.8569,0.0045,-0.0115,0.2366
2.8421,2.6504,0.0862,-9.7540,0.0050,-0.0130,0.1756
2.8612,2.6600,0.1437,-9.7899,0.0036,-0.0126,0.1450
2.8801,2.7007,0.1221,-9.8641,0.0029,-0.0108,0.1832
2.8989,2.6647,0.1389,-9.6654,0.0041,-0.0128,0.1679
2.9169,2.6863,0.1269,-9.6558,0.0062,-0.0116,0.0305
2.9363,2.6815,0.0886,-9.8114,0.0050,-0.0119,0.1221
2.9552,2.6600,0.0790,-9.8904,0.0038,-0.0115,0.2977
2.9741,2.6839,0.1197,-9.9551,0.0038,-0.0128,0.2290
2.9925,2.6791,0.1413,-9.9407,0.0050,-0.0118,0.1374
3.0115,2.6288,0.1365,-9.8186,0.0052,-0.0118,0.2214
3.0303,2.6767,0.0862,-9.6798,0.0057,-0.0112,0.1527
3.0495,2.6743,0.1221,-9.7659,0.0026,-0.0128,0.2290
3.0689,2.6983,0.0910,-9.7995,0.0059,-0.0104,0.2595
3.0880,2.6193,0.2251,-9.7636,0.0034,-0.0115,0.2290
3.1069,2.7007,0.1245,-9.7540,0.0037,-0.0101,0.1374
3.1249,2.6911,0.0790,-9.8761,0.0046,-0.0112,0.0458
3.1432,2.6528,0.1341,-9.6582,0.0036,-0.0122,0.1832
3.1612,2.7150,0.1293,-9.8426,0.0045,-0.0116,0.2977
3.1796,2.6815,0.1221,-9.7444,0.0042,-0.0108,0.2672
3.1987,2.6600,0.1006,-9.8593,0.0026,-0.0125,0.1450
3.2176,2.6695,0.1030,-9.9096,0.0036,-0.0128,0.1450
3.2371,2.6959,0.1006,-9.8976,0.0057,-0.0138,0.2366
3.2556,2.6552,0.1437,-9.7276,0.0029,-0.0112,0.1985
3.2749,2.6983,0.0910,-9.7468,0.0045,-0.0112,0.2061
3.2939,2.6647,0.0599,-9.7947,0.0030,-0.0108,1.9466
3.3121,2.6432,0.1389,-9.6774,0.0039,-0.0103,0.2061
3.3316,2.7438,0.1939,-9.9048,0.0038,-0.0112,0.0916
3.3499,2.7246,0.1293,-9.6822,0.0043,-0.0115,0.3893
3.3690,2.6336,0.1221,-9.9479,0.0034,-0.0123,0.2672
3.3868,2.6863,0.0958,-9.9479,0.0051,-0.0118,0.1527
3.4053,2.6671,0.1101,-9.8737,0.0039,-0.0121,0.2595
3.4247,2.6935,0.1269,-9.9192,0.0045,-0.0111,0.2290
3.4432,2.6983,0.1173,-9.7324,0.0051,-0.0117,0.2061
3.4618,2.7126,0.1006,-9.6989,0.0026,-0.0111,0.1679
3.4801,2.7390,0.1077,-9.8976,0.0043,-0.0117,0.1450
3.4994,2.6791,0.1125,-9.9024,0.0039,-0.0124,0.1832
3.5191,2.7126,0.1484,-9.8043,0.0042,-0.0116,0.2672
3.5378,2.6576,0.1221,-9.9216,0.0026,-0.0122,0.2214
3.5573,2.6073,0.1484,-9.9048,0.0019,-0.0127,0.3206
3.5759,2.7054,0.1389,-9.7564,0.0052,-0.0103,0.1069
3.5943,2.7078,0.1341,-9.8689,0.0044,-0.0121,0.0916
3.6125,2.6815,0.0766,-9.9024,0.0045,-0.0112,0.0611
3.6306,2.6408,0.1173,-9.8928,0.0028,-0.0118,0.1679
3.6489,2.6887,0.1389,-9.8450,0.0041,-0.0110,0.1603
3.6678,2.6360,0.1030,-9.9024,0.0035,-0.0107,0.1985
3.6867,2.6743,0.3041,-9.8354,0.0041,-0.0118,0.3435
3.7060,2.6815,0.1341,-9.7612,0.0033,-0.0128,0.2061
3.7250,2.7318,0.0072,-9.8402,0.0043,-0.0113,1.9237
3.7439,2.6624,0.0910,-9.8521,0.0029,-0.0118,0.2595
3.7631,2.6719,0.1628,-9.8306,0.0048,-0.0105,0.1603
3.7815,2.6552,0.1173,-9.7420,0.0054,-0.0107,0.2290
3.8009,2.6719,0.0263,-9.7971,0.0038,-0.0117,0.2748
3.8199,2.6456,0.0910,-9.6893,0.0038,-0.0124,0.2214
3.8390,2.7078,0.0694,-9.6582,0.0036,-0.0113,0.1527
3.8575,2.6408,0.0790,-9.7396,0.0050,-0.0108,0.1756
3.8755,2.6336,0.1101,-9.8497,0.0040,-0.0115,0.2443
3.8950,2.6193,0.1413,-9.7564,0.0051,-0.0127,0.3130
3.9131,2.6839,0.0814,-9.7731,0.0038,-0.0124,0.1145
3.9320,2.6743,0.1413,-9.8114,0.0027,-0.0117,0.0763
3.9507,2.7007,0.1077,-9.8521,0.0044,-0.0121,0.2443
3.9695,2.6217,0.0120,-9.9503,0.0061,-0.0122,0.2824
3.9890,2.6695,0.1053,-9.7827,0.0041,-0.0111,0.1298
4.0078,2.6600,0.0527,-9.8857,0.0031,-0.0122,0.0916
4.0271,2.6959,0.0790,-9.8066,0.0036,-0.0112,0.1679
4.0458,2.6121,0.1341,-9.9072,0.0061,-0.0120,0.1221
4.0646,2.6863,0.0575,-9.6678,0.0048,-0.0128,0.2824
4.0828,2.6695,0.0958,-9.8641,0.0041,-0.0121,0.2137
4.1014,2.6552,0.0862,-9.7683,0.0027,-0.0094,0.2290
4.1199,2.7007,0.1484,-9.9479,0.0041,-0.0114,0.1298
4.1383,2.6456,0.1628,-9.8569,0.0032,-0.0111,0.1298
4.1573,2.6983,0.1389,-9.8282,0.0029,-0.0115,0.2366
4.1764,2.6408,0.1125,-9.9407,0.0026,-0.0105,0.2748
4.1956,2.6240,0.1245,-9.8809,0.0048,-0.0126,0.1374
4.2143,2.6767,0.0718,-9.9072,0.0036,-0.0116,0.2290
4.2333,2.7007,0.1341,-9.8043,0.0049,-0.0109,0.1603
4.2516,2.6336,0.1077,-9.8282,0.0029,-0.0106,0.3511
4.2707,2.6695,0.0982,-9.8234,0.0051,-0.0107,0.1603
4.2896,2.6480,0.1197,-9.7085,0.0022,-0.0121,0.1450
4.3092,2.6719,0.1101,-9.7947,0.0028,-0.0120,0.3130
4.3280,2.6576,0.1341,-9.8617,0.0057,-0.0115,0.0916
4.3466,2.6576,0.1101,-9.6989,0.0048,-0.0119,0.0534
4.3648,2.6624,0.1365,-9.8282,0.0054,-0.0114,0.0534
4.3830,2.7390,0.1221,-9.8928,0.0033,-0.0108,0.0992
4.4016,2.6791,0.1293,-9.7181,0.0041,-0.0107,0.1603
4.4206,2.6121,0.1030,-9.7276,0.0031,-0.0119,0.1679
4.4393,2.7078,0.1269,-9.9503,0.0037,-0.0117,0.1527
4.4590,2.6336,0.0838,-9.7492,0.0035,-0.0119,0.2672
4.4778,2.6815,0.0910,-9.9216,0.0042,-0.0134,0.2595
4.4975,2.6671,0.0718,-9.8665,0.0038,-0.0106,0.3511
4.5160,2.6504,0.0838,-9.7564,0.0044,-0.0119,0.0611
4.5350,2.6935,0.1030,-9.7085,0.0040,-0.0129,0.1145
4.5536,2.7102,0.0000,-9.8809,0.0045,-0.0108,0.2443
4.5724,2.6528,0.1006,-9.8019,0.0052,-0.0119,0.0229
4.5913,2.6911,0.1987,-9.9335,0.0044,-0.0117,0.1450
4.6090,2.6695,0.1149,-9.7779,0.0039,-0.0127,0.3053
4.6284,2.7150,0.2705,-9.9599,0.0033,-0.0112,0.1069
4.6671,2.6767,0.2418,-9.6845,0.0040,-0.0112,0.3817
4.6883,2.7126,0.1077,-9.9288,0.0041,-0.0107,0.2061
4.7076,2.7318,0.0958,-9.7324,0.0050,-0.0121,0.1908
4.7276,2.6935,0.2251,-9.7827,0.0030,-0.0126,0.0687
4.7469,2.6767,0.0407,-9.7851,0.0043,-0.0098,0.1145
4.7659,2.7318,0.1125,-9.8785,0.0030,-0.0121,0.1832
4.7848,2.6456,0.1006,-9.8114,0.0043,-0.0122,0.0763
4.8038,2.6791,0.1149,-9.8090,0.0048,-0.0112,0.4046
4.8221,2.7007,0.1101,-9.8186,0.0042,-0.0097,0.2519
4.8407,2.6576,0.1365,-9.7683,0.0042,-0.0107,0.1069
4.8593,2.6743,0.2921,-9.7827,0.0044,-0.0113,0.1221
4.8769,2.6240,0.1269,-9.7803,0.0034,-0.0120,0.2443
4.8961,2.6815,0.1365,-9.7420,0.0046,-0.0128,0.2748
4.9143,2.7007,0.0886,-9.9575,0.0028,-0.0130,0.2595
4.9337,2.8108,0.0024,-9.9072,0.0038,-0.0120,0.1221
4.9526,2.6528,0.1125,-9.7659,0.0017,-0.0122,0.1374
4.9712,2.4924,0.1748,-9.9455,0.0043,-0.0118,0.0840
4.9899,2.6935,0.1030,-9.8066,0.0059,-0.0119,0.0992
5.0038,2.7102,0.0575,-9.6558,0.0057,-0.0131,0.2443
5.0183,2.6815,0.0742,-9.6774,0.0049,-0.0115,0.0992
5.0318,2.5762,0.1628,-9.7612,0.0038,-0.0115,0.3282
5.0453,2.6671,0.0934,-9.8138,0.0059,-0.0112,0.1908
5.0593,2.6169,0.1125,-9.9503,0.0038,-0.0115,0.1756
5.0725,2.7797,0.1748,-9.8450,0.0045,-0.0115,0.3893
5.0857,2.6767,0.1101,-9.7995,0.0048,-0.0111,0.3817
5.1050,2.6624,0.1221,-9.6654,0.0049,-0.0121,0.3282
5.1236,2.7533,0.1101,-9.7947,0.0040,-0.0114,0.1679
5.1432,2.7509,0.1365,-9.8785,0.0047,-0.0118,0.0229
5.1615,2.8347,0.0527,-9.9144,0.0034,-0.0107,0.1603
5.1802,2.6815,0.0934,-9.9599,0.0042,-0.0133,0.1527
5.1996,2.6552,0.0790,-9.8354,0.0029,-0.0117,0.1985
5.2186,2.6887,0.1173,-9.8809,0.0038,-0.0129,0.3511
5.2382,2.6288,0.1197,-9.9575,0.0043,-0.0107,0.1298
5.2575,2.6360,0.1341,-9.7588,0.0053,-0.0129,0.0840
5.2767,2.6983,0.1245,-9.8330,0.0048,-0.0114,0.3435
5.2962,2.6767,0.0790,-9.7492,0.0031,-0.0119,0.1145
5.3140,2.6935,0.1317,-9.7468,0.0033,-0.0122,1.9160
5.3326,2.7102,0.1077,-9.8186,0.0052,-0.0117,0.3130
5.3513,2.7390,0.1484,-9.8234,0.0037,-0.0126,0.2214
5.3696,2.6671,0.0958,-9.7947,0.0018,-0.0114,0.1450
5.3885,2.6504,0.2873,-9.8569,0.0032,-0.0115,0.1985
5.4075,2.7318,0.0742,-9.6774,0.0034,-0.0111,0.0611
5.4266,2.7342,0.1101,-9.8210,0.0031,-0.0119,0.1908
5.4458,2.6671,0.0144,-9.6582,0.0027,-0.0125,0.2901
5.4644,2.7461,0.0910,-9.7612,0.0040,-0.0120,0.2672
5.4826,2.6217,0.1460,-9.8114,0.0039,-0.0114,0.3206
5.5030,2.6217,0.0934,-9.7995,0.0057,-0.0128,0.2595
5.5219,2.6791,0.1293,-9.7612,0.0041,-0.0127,0.2824
5.5418,2.6480,0.1173,-9.9455,0.0044,-0.0116,0.2443
5.5597,2.7485,0.0814,-9.7947,0.0048,-0.0114,0.2061
5.5780,2.6576,0.1173,-9.9072,0.0030,-0.0114,0.1145
5.5965,2.6456,0.1341,-9.6678,0.0036,-0.0110,0.1374
5.6154,2.6647,0.1125,-9.7803,0.0022,-0.0107,0.0687
5.6527,2.7007,0.1197,-9.7659,0.0039,-0.0129,0.3435
5.6716,2.6360,0.1173,-9.8904,0.0041,-0.0123,0.0076
5.6907,2.6600,0.1077,-9.7851,0.0048,-0.0112,0.0992
5.7103,2.6767,0.2873,-9.8186,0.0043,-0.0115,0.2595
5.7299,2.6624,0.1221,-9.6917,0.0041,-0.0119,0.1221
5.7493,2.6839,0.0622,-9.7372,0.0049,-0.0125,0.2137
5.7678,2.7102,0.0982,-9.9096,0.0054,-0.0112,0.2290
5.7871,2.6576,0.0982,-9.7899,0.0037,-0.0116,0.2748
5.8048,2.7509,0.0551,-9.8090,0.0037,-0.0134,0.1679
5.8234,2.7246,0.1173,-9.8450,0.0028,-0.0134,0.3588
